"","age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y"
"42177",64,"entrepreneur","married","tertiary","no",2331,"no","no","telephone",9,"nov",201,1,-1,0,"unknown","yes"
"19804",47,"technician","divorced","secondary","no",84,"no","no","cellular",8,"aug",49,2,-1,0,"unknown","no"
"40083",38,"entrepreneur","divorced","secondary","no",1190,"yes","no","cellular",4,"jun",81,2,391,3,"failure","yes"
"35551",39,"blue-collar","married","secondary","no",62,"yes","no","cellular",7,"may",877,3,-1,0,"unknown","yes"
"508",48,"blue-collar","single","secondary","no",44,"yes","no","unknown",6,"may",153,1,-1,0,"unknown","no"
"44779",58,"management","married","tertiary","no",0,"no","no","cellular",14,"sep",358,2,-1,0,"unknown","yes"
"12146",40,"blue-collar","married","secondary","no",1009,"yes","yes","unknown",20,"jun",1036,5,-1,0,"unknown","yes"
"44977",62,"retired","married","secondary","no",2917,"no","no","cellular",11,"oct",123,2,182,2,"failure","no"
"30024",52,"self-employed","married","primary","no",314,"yes","no","cellular",4,"feb",131,2,-1,0,"unknown","no"
"34082",31,"admin.","married","secondary","no",35,"no","no","cellular",30,"apr",615,1,-1,0,"unknown","yes"
"35433",23,"technician","single","unknown","no",231,"yes","no","cellular",7,"may",560,3,367,1,"other","no"
"44263",93,"retired","married","unknown","no",775,"no","no","cellular",22,"jul",860,2,177,7,"success","yes"
"35613",32,"technician","single","tertiary","no",1849,"yes","no","cellular",7,"may",155,1,-1,0,"unknown","no"
"14534",43,"management","married","tertiary","no",254,"yes","yes","cellular",15,"jul",104,3,-1,0,"unknown","no"
"29119",37,"management","married","tertiary","no",767,"no","yes","cellular",2,"feb",204,1,-1,0,"unknown","no"
"6768",26,"technician","single","secondary","no",150,"yes","no","unknown",28,"may",216,1,-1,0,"unknown","no"
"36213",42,"management","married","secondary","no",1042,"yes","no","cellular",11,"may",465,1,364,3,"other","no"
"41611",83,"retired","married","primary","no",425,"no","no","telephone",22,"sep",773,1,92,2,"success","yes"
"38366",22,"student","single","secondary","no",2589,"yes","no","cellular",15,"may",239,1,352,1,"other","no"
"15167",41,"unemployed","divorced","secondary","no",142,"yes","no","cellular",17,"jul",353,3,-1,0,"unknown","no"
"36267",39,"services","married","secondary","no",93,"yes","no","cellular",11,"may",72,4,-1,0,"unknown","no"
"21844",52,"self-employed","married","secondary","no",-163,"yes","no","cellular",20,"aug",138,2,-1,0,"unknown","no"
"42936",30,"management","married","tertiary","no",1996,"no","no","cellular",8,"feb",1133,3,101,1,"other","yes"
"5073",38,"blue-collar","single","primary","no",-100,"yes","no","unknown",21,"may",189,2,-1,0,"unknown","no"
"24135",49,"management","married","secondary","no",249,"no","no","telephone",6,"nov",234,1,-1,0,"unknown","yes"
"36984",46,"entrepreneur","single","tertiary","no",1410,"yes","no","telephone",13,"may",91,5,175,9,"failure","no"
"20284",59,"services","married","secondary","no",108,"no","no","cellular",11,"aug",120,4,-1,0,"unknown","no"
"42471",66,"retired","married","unknown","no",2540,"no","no","telephone",10,"dec",441,2,156,1,"other","yes"
"42183",27,"services","single","secondary","no",6279,"yes","no","cellular",9,"nov",257,1,-1,0,"unknown","no"
"28961",48,"services","married","secondary","no",1555,"no","no","cellular",2,"feb",121,1,-1,0,"unknown","no"
"19794",47,"unemployed","married","secondary","no",1108,"no","no","cellular",8,"aug",169,2,-1,0,"unknown","no"
"33081",22,"student","single","secondary","no",3982,"no","no","cellular",20,"apr",206,1,-1,0,"unknown","yes"
"3017",32,"admin.","single","secondary","no",91,"yes","no","unknown",14,"may",302,2,-1,0,"unknown","no"
"43297",82,"retired","divorced","primary","no",0,"no","no","telephone",15,"mar",506,2,195,1,"other","yes"
"41781",48,"technician","single","secondary","no",1245,"no","no","cellular",13,"oct",169,1,134,1,"other","no"
"31048",22,"student","single","secondary","no",381,"no","no","cellular",12,"feb",227,1,-1,0,"unknown","yes"
"43133",61,"self-employed","divorced","tertiary","no",6610,"no","no","cellular",24,"feb",481,2,-1,0,"unknown","yes"
"13482",28,"services","single","secondary","no",1950,"no","no","cellular",9,"jul",147,1,-1,0,"unknown","no"
"44334",57,"unemployed","divorced","secondary","no",1088,"no","no","cellular",29,"jul",1697,1,-1,0,"unknown","no"
"39404",58,"retired","divorced","primary","no",1194,"yes","no","cellular",22,"may",807,1,310,1,"other","no"
"3379",41,"admin.","married","primary","no",-306,"yes","no","unknown",15,"may",500,1,-1,0,"unknown","yes"
"6016",32,"blue-collar","married","primary","no",5151,"yes","yes","unknown",26,"may",185,4,-1,0,"unknown","no"
"34373",43,"technician","married","tertiary","no",2643,"no","no","telephone",4,"may",331,5,-1,0,"unknown","yes"
"38146",31,"entrepreneur","single","secondary","no",0,"yes","no","cellular",15,"may",56,1,176,1,"failure","no"
"3300",45,"blue-collar","married","primary","no",1992,"yes","no","unknown",15,"may",163,1,-1,0,"unknown","no"
"16518",59,"technician","married","secondary","no",135,"yes","yes","cellular",23,"jul",416,4,-1,0,"unknown","yes"
"14537",33,"services","divorced","secondary","no",437,"yes","no","cellular",15,"jul",184,2,-1,0,"unknown","no"
"14599",38,"management","married","tertiary","no",465,"yes","yes","cellular",15,"jul",156,4,-1,0,"unknown","no"
"32724",48,"technician","single","secondary","no",540,"yes","no","cellular",17,"apr",106,1,-1,0,"unknown","no"
"16077",27,"blue-collar","single","secondary","no",-247,"no","yes","cellular",22,"jul",264,1,-1,0,"unknown","no"
"38408",30,"management","single","tertiary","no",1692,"yes","no","cellular",15,"may",251,1,-1,0,"unknown","no"
"3534",34,"blue-collar","married","unknown","no",-17,"yes","no","unknown",15,"may",319,7,-1,0,"unknown","no"
"42013",29,"services","single","tertiary","no",1788,"no","no","cellular",27,"oct",353,1,-1,0,"unknown","yes"
"20584",38,"technician","married","secondary","no",1478,"no","no","cellular",12,"aug",926,4,-1,0,"unknown","yes"
"9692",55,"blue-collar","married","unknown","no",7561,"no","no","unknown",6,"jun",685,3,-1,0,"unknown","yes"
"32201",51,"housemaid","married","unknown","no",2337,"yes","no","cellular",16,"apr",251,2,266,3,"other","yes"
"41512",60,"retired","married","secondary","no",0,"no","no","cellular",9,"sep",408,1,-1,0,"unknown","yes"
"3512",59,"management","single","secondary","no",671,"yes","yes","unknown",15,"may",157,5,-1,0,"unknown","no"
"24046",47,"admin.","divorced","secondary","no",555,"yes","yes","telephone",17,"oct",478,1,-1,0,"unknown","yes"
"26456",39,"unemployed","single","tertiary","no",7,"yes","no","cellular",20,"nov",931,4,-1,0,"unknown","yes"
"42328",62,"retired","married","secondary","no",298,"no","no","cellular",17,"nov",709,2,-1,0,"unknown","yes"
"44519",30,"student","single","secondary","no",1779,"no","no","cellular",11,"aug",233,1,433,1,"success","yes"
"38250",28,"student","single","tertiary","no",221,"yes","no","cellular",15,"may",176,1,-1,0,"unknown","no"
"12492",37,"technician","single","tertiary","no",0,"no","no","unknown",1,"jul",1135,2,-1,0,"unknown","yes"
"30595",31,"services","single","secondary","no",13,"no","yes","cellular",6,"feb",1019,2,-1,0,"unknown","yes"
"15109",31,"blue-collar","divorced","secondary","no",-277,"yes","no","telephone",17,"jul",1008,2,-1,0,"unknown","yes"
"26548",33,"blue-collar","married","secondary","no",3605,"yes","no","cellular",20,"nov",308,1,-1,0,"unknown","no"
"42895",63,"housemaid","married","secondary","no",2,"no","no","cellular",4,"feb",45,2,93,1,"success","no"
"8293",38,"blue-collar","married","primary","no",1495,"yes","no","unknown",2,"jun",74,3,-1,0,"unknown","no"
"3622",31,"admin.","married","unknown","no",-295,"yes","no","unknown",15,"may",311,3,-1,0,"unknown","no"
"5857",32,"admin.","single","secondary","no",620,"yes","no","unknown",26,"may",1234,3,-1,0,"unknown","yes"
"39895",29,"self-employed","single","tertiary","no",871,"yes","no","cellular",2,"jun",310,1,-1,0,"unknown","no"
"34596",41,"blue-collar","married","secondary","no",992,"yes","yes","cellular",5,"may",335,1,295,3,"failure","no"
"2401",23,"admin.","single","secondary","no",5,"yes","no","unknown",13,"may",93,1,-1,0,"unknown","no"
"13723",29,"management","married","tertiary","no",55,"yes","no","cellular",10,"jul",235,1,-1,0,"unknown","no"
"17797",39,"blue-collar","married","secondary","no",2457,"no","no","cellular",29,"jul",284,3,-1,0,"unknown","no"
"24075",32,"technician","single","tertiary","no",5514,"no","no","telephone",22,"oct",181,1,-1,0,"unknown","yes"
"4816",36,"technician","single","secondary","no",1053,"yes","no","unknown",21,"may",147,1,-1,0,"unknown","no"
"13971",51,"self-employed","married","tertiary","no",126,"yes","no","cellular",10,"jul",412,1,-1,0,"unknown","no"
"43090",27,"unknown","single","unknown","no",326,"no","no","cellular",22,"feb",326,1,-1,0,"unknown","yes"
"32540",34,"blue-collar","married","secondary","no",1226,"yes","no","cellular",17,"apr",86,1,-1,0,"unknown","no"
"35964",43,"blue-collar","married","secondary","no",490,"yes","no","cellular",8,"may",216,2,368,2,"failure","no"
"43743",64,"retired","married","secondary","no",1612,"no","no","cellular",18,"may",336,1,89,5,"failure","yes"
"10902",44,"management","married","primary","no",2276,"yes","no","unknown",17,"jun",321,1,-1,0,"unknown","no"
"17923",48,"unknown","married","unknown","no",286,"no","no","cellular",30,"jul",166,2,-1,0,"unknown","no"
"40069",39,"admin.","single","tertiary","no",22086,"no","no","cellular",4,"jun",160,1,-1,0,"unknown","yes"
"44428",28,"student","single","secondary","no",970,"no","no","telephone",4,"aug",297,1,-1,0,"unknown","no"
"9010",44,"blue-collar","married","secondary","no",1910,"yes","no","unknown",5,"jun",41,1,-1,0,"unknown","no"
"1218",32,"blue-collar","single","secondary","no",5,"yes","yes","unknown",8,"may",134,1,-1,0,"unknown","no"
"17578",51,"management","divorced","tertiary","no",492,"no","yes","cellular",29,"jul",54,7,-1,0,"unknown","no"
"29810",30,"admin.","single","tertiary","no",305,"no","no","cellular",4,"feb",227,2,-1,0,"unknown","yes"
"36375",57,"technician","divorced","secondary","no",99,"yes","no","cellular",11,"may",133,2,370,2,"failure","no"
"15908",44,"blue-collar","married","primary","no",6393,"no","no","cellular",22,"jul",156,20,-1,0,"unknown","no"
"11763",54,"services","married","unknown","no",386,"no","yes","unknown",20,"jun",838,1,-1,0,"unknown","yes"
"7887",41,"technician","single","secondary","no",568,"yes","no","unknown",30,"may",72,2,-1,0,"unknown","no"
"29832",47,"entrepreneur","divorced","tertiary","no",178,"no","no","cellular",4,"feb",291,1,-1,0,"unknown","no"
"44171",41,"technician","single","secondary","no",5329,"no","no","cellular",14,"jul",397,2,-1,0,"unknown","yes"
"20122",46,"management","married","tertiary","no",5108,"no","no","cellular",11,"aug",165,4,-1,0,"unknown","no"
"20311",35,"technician","married","tertiary","no",22,"no","no","cellular",11,"aug",109,1,-1,0,"unknown","no"
"24289",44,"admin.","divorced","secondary","no",0,"no","no","cellular",17,"nov",57,1,-1,0,"unknown","no"
"17024",33,"blue-collar","single","secondary","no",0,"no","no","telephone",25,"jul",511,1,-1,0,"unknown","no"
"11848",39,"entrepreneur","divorced","tertiary","yes",-251,"no","no","unknown",20,"jun",421,6,-1,0,"unknown","no"
"22273",37,"management","married","secondary","no",38,"no","no","cellular",21,"aug",94,13,-1,0,"unknown","no"
"1672",46,"technician","married","secondary","no",332,"yes","no","unknown",9,"may",772,1,-1,0,"unknown","yes"
"5330",32,"blue-collar","married","primary","no",225,"yes","no","unknown",23,"may",23,1,-1,0,"unknown","no"
"44821",23,"self-employed","single","tertiary","no",780,"no","no","cellular",16,"sep",393,1,183,3,"success","yes"
"21123",30,"management","married","tertiary","no",0,"no","no","cellular",14,"aug",95,2,-1,0,"unknown","no"
"37378",59,"services","married","secondary","no",2965,"yes","no","cellular",13,"may",1970,3,-1,0,"unknown","yes"
"12105",52,"blue-collar","married","secondary","no",1860,"no","no","unknown",20,"jun",496,3,-1,0,"unknown","no"
"5583",32,"blue-collar","married","secondary","no",38,"yes","no","unknown",23,"may",368,5,-1,0,"unknown","no"
"5156",36,"blue-collar","married","primary","no",0,"yes","no","unknown",21,"may",59,2,-1,0,"unknown","no"
"36619",29,"entrepreneur","single","tertiary","no",135,"yes","no","cellular",12,"may",245,1,356,1,"failure","no"
"15230",34,"management","married","tertiary","no",118,"no","yes","telephone",17,"jul",171,3,-1,0,"unknown","no"
"43890",34,"management","married","tertiary","no",158,"no","no","cellular",9,"jun",190,1,92,9,"success","yes"
"8698",26,"blue-collar","single","secondary","no",1802,"yes","no","unknown",3,"jun",28,19,-1,0,"unknown","no"
"25609",31,"blue-collar","married","secondary","no",1570,"yes","yes","cellular",19,"nov",133,2,180,1,"other","no"
"41608",28,"admin.","single","secondary","no",762,"no","no","cellular",18,"sep",115,3,-1,0,"unknown","yes"
"28307",29,"admin.","single","secondary","no",2768,"yes","no","cellular",29,"jan",69,1,241,4,"failure","no"
"22725",46,"management","married","secondary","no",0,"no","no","telephone",25,"aug",67,10,-1,0,"unknown","no"
"39350",37,"blue-collar","married","unknown","no",-118,"yes","no","cellular",18,"may",21,2,-1,0,"unknown","no"
"10218",36,"unemployed","married","secondary","no",1766,"no","no","unknown",11,"jun",595,2,-1,0,"unknown","yes"
"3473",33,"blue-collar","single","primary","no",279,"yes","no","unknown",15,"may",113,1,-1,0,"unknown","no"
"13261",38,"technician","married","secondary","no",0,"no","no","cellular",8,"jul",635,1,-1,0,"unknown","yes"
"28027",26,"blue-collar","single","secondary","no",0,"yes","no","cellular",28,"jan",148,2,258,2,"failure","no"
"20798",51,"management","divorced","tertiary","no",0,"no","no","cellular",13,"aug",60,2,-1,0,"unknown","no"
"43808",23,"student","single","tertiary","no",691,"no","no","cellular",27,"may",1178,1,178,6,"success","yes"
"19970",49,"services","married","secondary","no",823,"no","no","cellular",8,"aug",780,4,-1,0,"unknown","yes"
"21644",51,"management","divorced","tertiary","no",45,"no","no","cellular",19,"aug",95,4,-1,0,"unknown","no"
"20073",46,"blue-collar","married","secondary","no",438,"no","no","cellular",8,"aug",262,5,-1,0,"unknown","no"
"41684",54,"management","married","tertiary","no",8295,"no","no","cellular",2,"oct",849,2,119,1,"success","yes"
"23608",32,"technician","divorced","secondary","no",-262,"yes","no","telephone",28,"aug",85,24,-1,0,"unknown","no"
"224",55,"retired","married","secondary","no",0,"no","yes","unknown",5,"may",136,1,-1,0,"unknown","no"
"2189",32,"blue-collar","married","primary","no",1064,"yes","no","unknown",12,"may",326,1,-1,0,"unknown","no"
"35844",50,"management","single","tertiary","no",709,"yes","no","cellular",8,"may",207,1,-1,0,"unknown","no"
"20394",50,"management","married","tertiary","no",1859,"no","no","cellular",11,"aug",85,5,-1,0,"unknown","no"
"4942",54,"management","divorced","tertiary","no",487,"yes","no","unknown",21,"may",828,4,-1,0,"unknown","yes"
"20806",37,"technician","single","secondary","no",-242,"yes","no","cellular",13,"aug",1149,6,-1,0,"unknown","yes"
"11847",57,"management","married","tertiary","no",-92,"yes","yes","unknown",20,"jun",1617,1,-1,0,"unknown","yes"
"28724",32,"blue-collar","married","secondary","no",578,"yes","no","cellular",30,"jan",206,3,-1,0,"unknown","no"
"35837",57,"management","married","tertiary","no",830,"yes","yes","cellular",8,"may",662,1,367,1,"success","yes"
"8871",26,"student","single","secondary","no",-147,"no","no","unknown",4,"jun",95,2,-1,0,"unknown","no"
"43205",32,"management","single","tertiary","no",354,"no","no","cellular",4,"mar",177,2,133,5,"other","yes"
"22599",51,"technician","married","secondary","no",130,"no","no","cellular",22,"aug",547,3,-1,0,"unknown","no"
"31356",37,"admin.","single","tertiary","no",1000,"yes","no","cellular",17,"mar",195,1,-1,0,"unknown","yes"
"14872",56,"blue-collar","married","primary","no",0,"yes","no","cellular",16,"jul",1222,1,-1,0,"unknown","yes"
"35416",49,"blue-collar","married","secondary","no",-327,"yes","no","cellular",7,"may",423,1,-1,0,"unknown","no"
"39055",25,"blue-collar","single","secondary","no",217,"yes","no","cellular",18,"may",504,1,-1,0,"unknown","yes"
"39540",55,"management","married","tertiary","no",42,"no","no","cellular",26,"may",318,1,-1,0,"unknown","no"
"44532",35,"blue-collar","married","secondary","no",1454,"yes","no","cellular",12,"aug",323,1,182,4,"success","yes"
"39270",26,"blue-collar","married","primary","no",172,"yes","no","cellular",18,"may",410,3,354,3,"failure","no"
"31185",31,"management","single","tertiary","no",924,"no","no","cellular",27,"feb",172,1,-1,0,"unknown","yes"
